rva	name
0x00001000	Name3::operator!=
0x00001030	Name4::operator=
0x00001050	AssertClass::operator()
0x00001080	AssertClass::operator()
0x000010b0	Metronome::operator unsigned char
0x000010d0	AbnormalStateContainer::AbstateElementInObject::aeo_GetStrength
0x000010e0	AbnormalStateContainer::AbstateElementInObject::ase_Terminate
0x000010f0	AbnormalStateContainer::AbstateElementInObject::aeo_GetIndexArgument
0x00001110	UseEffect::UseItemRide::uir_GetSkill
0x00001120	AbnormalStateContainer::AbstateListInObject::asl_GetAbstateList
0x00001130	ProtocolPacket::pp_NetCommand
0x00001140	ProtocolPacket::pp_NetCommand
0x00001160	RandomBox::operator[]
0x000011a0	RandomBox::rb_1000
0x000011f0	DirectDistanceTable::ddt_Distance
0x00001250	ShineObjectClass::ShineObject::so_GetXCoord
0x00001260	ShineObjectClass::ShineObject::so_GetYCoord
0x00001270	ShineObjectClass::ShineObject::so_DistanceSquar
0x00001290	ShineObjectClass::ShineObject::so_DistanceSquar
0x000012b0	ShineObjectClass::ShineObject::so_CurMap
0x000012c0	AbnormalStateDictionary::AbState::as_FromID
0x00001300	AbnormalStateDictionary::AbState::as_FromIndex
0x00001340	AbnormalStateContainer::SubAbnormalStateActorLastDmgRatio_DefSide::~SubAbnormalStateActorLastDmgRatio_DefSide
0x00001350	AbnormalStateContainer::AbnormalStateElement::ase_GetActMilliSec
0x00001360	AbnormalStateContainer::AbnormalStateTickRoutine::AbnormalStateTickRoutine
0x000013b0	AbnormalStateContainer::AbnormalStateTickRoutine::~AbnormalStateTickRoutine
0x00001400	AbnormalStateContainer::AbnormalStatePartyEnchant::ase_GetActMilliSec
0x00001410	AbnormalStateContainer::AbnormalStatePartyEnchant::~AbnormalStatePartyEnchant
0x00001420	AbnormalStateContainer::AbnormalStateElement::ase_IndexString
0x00001430	AbnormalStateContainer::AbnormalStateElementNormal::ase_IndexString
0x00001440	AbnormalStateContainer::AbnormalStatePartyEnchant::ase_IndexString
0x00001450	AbnormalStateContainer::AbnormalStateGuildAcademyMasterEnchant::ase_IndexString
0x00001460	AbnormalStateContainer::AbnormalStateCouplePartyEnchant::ase_IndexString
0x00001470	AbnormalStateContainer::AbnormalStateElementRecover::ase_IndexString
0x00001480	AbnormalStateContainer::AbnormalStateReinforcedMove::ase_IndexString
0x00001490	AbnormalStateContainer::AbnormalStateRestCount::ase_IndexString
0x000014a0	AbnormalStateContainer::AbnormalStateTickRoutine::ase_IndexString
0x000014b0	AbnormalStateContainer::AbnormalStateEachTickRoutine::ase_IndexString
0x000014c0	AbnormalStateContainer::AbnormalStateHide::ase_IndexString
0x000014d0	AbnormalStateContainer::AbnormalStatePolymorph::ase_IndexString
0x000014e0	AbnormalStateContainer::SubAbnormalStateActor::sasa_IndexString
0x000014f0	AbnormalStateContainer::SubAbnormalStateMaxHP::sasa_IndexString
0x00001500	AbnormalStateContainer::SubAbnormalStateFear::sasa_IndexString
0x00001510	AbnormalStateContainer::SubAbnormalStateCaptivate::sasa_IndexString
0x00001520	AbnormalStateContainer::SubAbnormalStateActorPoison::sasa_IndexString
0x00001530	AbnormalStateContainer::SubAbnormalStateActorAreaDamage::sasa_IndexString
0x00001540	AbnormalStateContainer::SubAbnormalStateActorDisease::sasa_IndexString
0x00001550	AbnormalStateContainer::SubAbnormalStateActorHPHeal::sasa_IndexString
0x00001560	AbnormalStateContainer::SubAbnormalStateActorSPHeal::sasa_IndexString
0x00001570	AbnormalStateContainer::SubAbnormalStateActorHPSPHeal::sasa_IndexString
0x00001580	AbnormalStateContainer::SubAbnormalStateActorShield::sasa_IndexString
0x00001590	AbnormalStateContainer::SubAbnormalStateActorManaShield::sasa_IndexString
0x000015a0	AbnormalStateContainer::SubAbnormalStateActorPartyRecharge::sasa_IndexString
0x000015b0	AbnormalStateContainer::SubAbnormalStateActorSelfRevive::sasa_IndexString
0x000015c0	AbnormalStateContainer::SubAbnormalStateActorRangeIntercept::sasa_IndexString
0x000015d0	AbnormalStateContainer::SubAbnormalStateActorLastDmgRatio::sasa_IndexString
0x000015e0	AbnormalStateContainer::SubAbnormalStateActorLastDmgRatio_DefSide::sasa_IndexString
0x000015f0	AbnormalStateContainer::SubAbnormalStateActerTimeAttack::sasa_IndexString
0x00001600	AbnormalStateContainer::SubAbnormalStateActorCastDelay::sasa_IndexString
0x00001610	AbnormalStateContainer::SubAbnormalStateActorIgnoreCoolTime::sasa_IndexString
0x00001620	AbnormalStateContainer::SubAbnormalStateActorSilence::sasa_IndexString
0x00001630	AbnormalStateContainer::SubAbnormalStateActorSilencetoone::sasa_IndexString
0x00001640	AbnormalStateContainer::AbnormalStateElement::ase_This
0x00001670	AbnormalStateContainer::AbnormalStateList::operator[]
0x00001690	AxialListNearScanParty::AxialListNearScanParty
0x000016b0	AxialListNearScanParty::~AxialListNearScanParty
0x000016c0	AxialListNearScanParty::alns_ValidObject
0x000016e0	AxialListNearScanCoupleParty::~AxialListNearScanCoupleParty
0x000016f0	AxialListNearScanCoupleParty::AxialListNearScanCoupleParty
0x00001720	AxialListNearScanCoupleParty::alns_ValidObject
0x00001760	AxialListNearScanGuildAcademy::~AxialListNearScanGuildAcademy
0x00001770	AxialListNearScanGuildAcademy::alns_ValidObject
0x000017d0	AbnormalStateContainer::SubAbnormalStateMaxHP::sasa_AfterEnchant
0x00001840	ShineObjectClass::ShineObject::so_AbnormalState_BitSet
0x00001880	ShineObjectClass::ShineObject::so_AbnormalState_BitReset
0x000018c0	AbnormalStateContainer::AbnormalStateRestCount::ase_MaxRestCount
0x000018e0	AbnormalStateContainer::AbstateElementInObject::ASE_Tick::~ASE_Tick
0x000018f0	AbnormalStateContainer::AbstateElementInObject::AbstateElementInObject
0x00001950	AbnormalStateContainer::AbstateElementInObject::~AbstateElementInObject
0x000019a0	ShineObjectClass::ShineMobileObject::so_BashStop
0x000019b0	AxialListNearScanEnemyorAll::~AxialListNearScanEnemyorAll
0x000019c0	AbnormalStateContainer::SubAbnormalStateActor::sasa_SetAbstateToArea
0x00001b20	AbnormalStateContainer::SubAbnormalStateActorSilencetoone::sasa_Act_SkillBlast
0x00001b40	AbnormalStateContainer::AbnormalStateElement::ase_AttachObject
0x00001ba0	AbnormalStateContainer::AbnormalStateElement::ase_DetachObject
0x00001c00	ShineObjectClass::ShineObject::so_smo_SPExhByAbState
0x00001c10	ShineObjectClass::ShineMobileObject::so_smo_SPExhByAbState
0x00001c20	AxialListNearScanFriend::AxialListNearScanFriend
0x00001c40	AxialListNearScanFriend::~AxialListNearScanFriend
0x00001c50	AxialListNearScanFriend::alns_ValidObject
0x00001c90	List<AbnormalStateContainer::AbnormalStateNode>::~List<AbnormalStateContainer::AbnormalStateNode>
0x00001cb0	List<AbnormalStateContainer::AbnormalStateNode>::l_PopA
0x00001d00	List<AbnormalStateContainer::AbnormalStateNode>::l_PopZ
0x00001d50	List<MobRegenClass::MobBreeder>::l_PushZ
0x00001d90	List<Movie::Theater>::l_4AllInList
0x00001e00	List<Movie::Theater>::l_4AllInList
0x00001e60	ListTraveler<AbnormalStateContainer::AbstateElementInObject>::lt_Home
0x00001e80	ListTraveler<AbnormalStateContainer::AbstateElementInObject>::lt_Next
0x00001eb0	AbnormalStateContainer::AbstateElementInObject::aeo_FindCasterObject
0x00001f20	FunctionEntarance::FunctionEntarance
0x00001f60	FunctionEntarance::~FunctionEntarance
0x00001f80	ShineObjectClass::ShineObject::so_DistanceSquar
0x00002000	AbnormalStateContainer::AbnormalStateList::~AbnormalStateList
0x00003d00	AbnormalStateContainer::AbnormalStatePartyEnchant::aspe_FindSubState
0x00003e40	AbnormalStateContainer::AbnormalStateGuildAcademyMasterEnchant::asgame_FindSubState
0x00003f80	AbnormalStateContainer::AbnormalStateElement::ase_AfterEnchant
0x00004040	ShineObjectClass::ShineMobileObject::so_mobile_HPHealOverTime
0x00004190	ShineObjectClass::ShineMobileObject::so_mobile_SPHealOverTime
0x00004250	ShineObjectClass::ShineObject::so_AbnormalState_BroadcastSet
0x000043b0	ShineObjectClass::ShineObject::so_AbnormalState_BroadcastReset
0x000044b0	ShineObjectClass::ShinePlayer::so_AbnormalState_Inform
0x000045b0	AbnormalStateContainer::ActorCluster::ActorCluster
0x00004c70	AbnormalStateContainer::ActorCluster::~ActorCluster
0x00004df0	AbnormalStateContainer::AbstateElementInObject::AbstateElementInObject
0x00004e50	AbnormalStateContainer::AbstateElementInObject::aeo_CompName
0x00004ec0	AbnormalStateContainer::AbstateListInObject::~AbstateListInObject
0x00004f00	AbnormalStateContainer::AbstateElementInObject::aeo_FindSubState
0x00005040	AbnormalStateContainer::AbstateElementInObject::aeo_GetAbstateElement
0x00005070	ListIter_ObjectAbStateRoutine::lid_Call
0x000050d0	AbnormalStateContainer::AbstateListInObject::asl_Routine
0x000051a0	AbnormalStateContainer::AbnormalStateElement::ase_Routine
0x000052d0	AbnormalStateContainer::AbnormalStateTickRoutine::ase_Routine
0x00005400	AbnormalStateContainer::AbnormalStateEachTickRoutine::ase_Routine
0x00005510	AbnormalStateContainer::AbnormalStatePolymorph::ase_Routine
0x000055d0	AbnormalStateContainer::SubAbnormalStateActor::sasa_Routine
0x000056b0	AbnormalStateContainer::SubAbnormalStateFear::sasa_Routine
0x00005710	AbnormalStateContainer::SubAbnormalStateActorHPHeal::sasa_Routine
0x000058a0	AbnormalStateContainer::SubAbnormalStateActorSPHeal::sasa_Routine
0x00005990	AbnormalStateContainer::SubAbnormalStateActorHPSPHeal::sasa_Routine
0x00005b10	AbnormalStateContainer::SubAbnormalStateActorCastDelay::sasa_Act_CastDelay
0x00005bd0	AbnormalStateContainer::SubAbnormalStateActorShield::sasa_Act_DamegeAbsorpt
0x00005c50	AbnormalStateContainer::SubAbnormalStateActorManaShield::sasa_Act_DamegeAbsorpt
0x00005d30	AbnormalStateContainer::SubAbnormalStateActorRangeIntercept::sasa_Act_DamegeIntercept
0x00005db0	AbnormalStateContainer::SubAbnormalStateActorLastDmgRatio::sasa_Act_LastDamegeInterceptByAtk
0x00005e80	AbnormalStateContainer::SubAbnormalStateActorLastDmgRatio_DefSide::sasa_Act_LastDamegeInterceptByDef
0x00005f50	AbnormalStateContainer::SubAbnormalStateActorPartyRecharge::sasa_Act_Killed
0x00006170	AbnormalStateContainer::SubAbnormalStateActorSelfRevive::sasa_Act_Killed
0x000062d0	AbnormalStateContainer::AbstateElementInObject::aeo_ParameterEnchant
0x00006d00	AbnormalStateContainer::AbnormalStateReinforcedMove::ase_PreAttachObject
0x00006e30	AbnormalStateContainer::AbnormalStateReinforcedMove::ase_AttachObject
0x000070d0	AbnormalStateContainer::AbnormalStateElementRecover::ase_DetachObject
0x000071e0	AbnormalStateContainer::AbnormalStateReinforcedMove::ase_DetachObject
0x000072f0	AbnormalStateContainer::AbnormalStatePartyEnchant::ase_SetMain
